programme,category,title,source_path,site_path,size_bytes,modified,note
software-engineering,exams,СЕМ 2023-01 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2023_01.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2023-01-regular-exam-problems.pdf,156924,2023-02-01,
software-engineering,exams,СЕМ 2023-01 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2023_01 решения.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2023-01-regular-exam-solutions.pdf,5684180,2024-01-02,
software-engineering,exams,СЕМ 2024-02 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2024_02.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2024-02-regular-exam-problems.pdf,159251,2024-02-02,
software-engineering,exams,СЕМ 2024-02 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2024_02 решения.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2024-02-regular-exam-solutions.pdf,5598386,2024-02-02,
software-engineering,exams,СЕМ 2025-02 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2025_02.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2025-02-regular-exam-problems.pdf,140710,2025-02-08,
software-engineering,exams,СЕМ 2025-02 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2025_02 решения.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2025-02-regular-exam-solutions.pdf,6079467,2025-02-12,
"Компютърни науки, поток 2",exams-theory,"Теория ВиС, юни 2021","СЕМ ВиС shared/Изпити/Теория/Изпит теория ВиС, юни 2021.pdf",files/prob-stat/computer-science-2/exams/prob-stat-cs2-2021-06-regular-exam-theory.pdf,367702,2021-10-02,
"Компютърни науки, поток 2",tests,"Компютърни науки, поток 2: контролно 1, 2021 — решения",СЕМ ВиС shared/Контролни/Контролно 1 ВиС 2021 решения.pdf,files/prob-stat/computer-science-2/tests/prob-stat-cs2-2021-test-1-solutions.pdf,202917,2021-12-09,
"Компютърни науки, поток 2",tests,"Компютърни науки, поток 2: контролно 1, 2021",СЕМ ВиС shared/Контролни/Контролно 1 ВиС 2021.pdf,files/prob-stat/computer-science-2/tests/prob-stat-cs2-2021-test-1.pdf,159773,2021-12-02,
"Компютърни науки, поток 2",tests,"Компютърни науки, поток 2: контролно 2, 2021 — решения",СЕМ ВиС shared/Контролни/Контролно 2 ВиС 2021 решения .pdf,files/prob-stat/computer-science-2/tests/prob-stat-cs2-2021-test-2-solutions.pdf,162791,2022-01-20,
"Компютърни науки, поток 2",tests,"Компютърни науки, поток 2: контролно 2, 2021",СЕМ ВиС shared/Контролни/Контролно 2 ВиС 2021.pdf,files/prob-stat/computer-science-2/tests/prob-stat-cs2-2021-test-2.pdf,136153,2022-01-20,
